Sephora	https://d1vfs9f7h1rfk4.cloudfront.net/brand/sephora.jpg
Charles & Keith	https://d1vfs9f7h1rfk4.cloudfront.net/brand/charles-keith.jpg
adidas	https://d1vfs9f7h1rfk4.cloudfront.net/media/Zach__2_/adidas.png
Uniqlo	
Nike	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/nike.jpg
ALHA ALFA COSMETIC	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/alha-alfa-cosmetic.jpg
BONIA	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/bonia.jpg
Longchamp	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/longchamp.jpg
FILA	https://d1vfs9f7h1rfk4.cloudfront.net/brand/fila.jpg
H&M	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/h-m.jpg
spao	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/spao.jpg
Coach	https://d1vfs9f7h1rfk4.cloudfront.net/brand/coach.jpg
Carlo Rino	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/carlo-rino.jpg
The Body Shop	
Zara	https://d1vfs9f7h1rfk4.cloudfront.net/brand/zara.jpg
Victoria's Secret	https://d1vfs9f7h1rfk4.cloudfront.net/brand/victorias-secret.jpg
Swatch	https://iprice-production-assets.s3.ap-southeast-1.amazonaws.com/brand/swatch.jpg
G2000	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/g2000.jpg
Barry Smith	https://iprice-production-assets.s3-ap-southeast-1.amazonaws.com/brand/barry-smith.jpg
Fossil	https://d1vfs9f7h1rfk4.cloudfront.net/media/Zach__2_/fossil.png